"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.419239292E0,-1.636879563E0,1.261707187E0,-5.912117362E-1,2.149607184E0
1.429234292E0,-1.276090026E0,1.019786119E0,-5.549080372E-1,1.725193442E0
1.439229292E0,-8.973327279E-1,7.420493960E-1,-4.840056598E-1,1.260993580E0
1.449224292E0,-5.146544576E-1,4.503470659E-1,-3.913415968E-1,7.879276210E-1
1.459219292E0,-1.309217066E-1,1.628500521E-1,-2.770483196E-1,3.470106686E-1
1.469214292E0,2.500802875E-1,-1.006941199E-1,-1.490269303E-1,3.080397408E-1
1.479209292E0,6.151993871E-1,-3.259141743E-1,-1.637566648E-2,6.963896160E-1
1.489204292E0,9.748150110E-1,-5.160044432E-1,1.186894402E-1,1.109329561E0
1.499199292E0,1.319487929E0,-6.717604995E-1,2.504780889E-1,1.501682336E0
1.509195292E0,1.653625131E0,-7.970899343E-1,3.723093569E-1,1.873083739E0
1.519190292E0,1.970185757E0,-8.936852217E-1,4.799990654E-1,2.216010897E0
1.529185292E0,2.274110794E0,-9.703981280E-1,5.679002404E-1,2.536880587E0
1.539180292E0,2.561485767E0,-1.033156633E0,6.292514801E-1,2.832768856E0
1.549175292E0,2.838955402E0,-1.100215554E0,6.633506417E-1,3.116115549E0
1.559170292E0,3.102021694E0,-1.178646445E0,6.689653993E-1,3.385152986E0
1.569165292E0,3.352370501E0,-1.266276836E0,6.428498030E-1,3.640755535E0
1.579160292E0,3.581791162E0,-1.359005928E0,5.822056532E-1,3.874930769E0
1.589155292E0,3.781585693E0,-1.453081012E0,4.885733128E-1,4.080507158E0
1.599150292E0,3.943045378E0,-1.536244273E0,3.636825085E-1,4.247342497E0
1.609145292E0,4.062062740E0,-1.605978489E0,2.170297652E-1,4.373399425E0
1.619140292E0,4.129740238E0,-1.653480768E0,5.717166141E-2,4.448822505E0
1.629135292E0,4.144694328E0,-1.676369905E0,-1.114661917E-1,4.472262498E0
1.639130292E0,4.112078667E0,-1.670722127E0,-2.753222585E-1,4.447055850E0
1.649125292E0,4.031121731E0,-1.644493103E0,-4.250352681E-1,4.374351947E0
1.659120292E0,3.910208941E0,-1.605515599E0,-5.484171510E-1,4.262414301E0
1.669115292E0,3.765639067E0,-1.561965108E0,-6.364013553E-1,4.126109459E0
1.679110292E0,3.607944965E0,-1.525953054E0,-6.886999607E-1,3.977449840E0
1.689105292E0,3.451718092E0,-1.508102298E0,-6.988713145E-1,3.831077060E0
1.699100292E0,3.306833982E0,-1.514425159E0,-6.691229939E-1,3.698156315E0
1.709095292E0,3.187104225E0,-1.548212051E0,-6.080061793E-1,3.595033437E0
1.719090292E0,3.100641251E0,-1.601978660E0,-5.203820467E-1,3.528612938E0
1.729085292E0,3.048048258E0,-1.672270536E0,-4.088198543E-1,3.500602891E0
1.739080292E0,3.039973021E0,-1.737656236E0,-2.985908091E-1,3.514262601E0
1.749075292E0,3.061326504E0,-1.786021948E0,-2.007469684E-1,3.549914605E0
1.759070292E0,3.112376451E0,-1.812897801E0,-1.116522551E-1,3.603602620E0
1.769065292E0,3.181425095E0,-1.805669427E0,-4.149606451E-2,3.658364339E0
1.779060292E0,3.248928785E0,-1.763641596E0,6.689575035E-3,3.696757320E0
1.789055292E0,3.301767826E0,-1.691019535E0,3.079173900E-2,3.709739341E0
1.799050292E0,3.324403048E0,-1.589443088E0,3.057122976E-2,3.684958555E0
1.809045292E0,3.307554722E0,-1.452203274E0,9.592766874E-3,3.612326758E0
1.819040292E0,3.244211674E0,-1.279683471E0,-2.904091217E-2,3.487598392E0
1.829035292E0,3.124067068E0,-1.079519987E0,-7.293745130E-2,3.306127390E0
1.839030292E0,2.954868317E0,-8.536314964E-1,-1.173454002E-1,3.077938181E0
1.849025292E0,2.730920553E0,-5.986306667E-1,-1.632496417E-1,2.800524270E0
1.859020292E0,2.472213030E0,-3.313795030E-1,-2.045797706E-1,2.502699048E0
1.869016292E0,2.178138018E0,-6.579635292E-2,-2.387659252E-1,2.192173248E0
1.879011292E0,1.856185079E0,1.826102585E-1,-2.674417794E-1,1.884222561E0
1.889006292E0,1.513066053E0,3.939870596E-1,-2.893212438E-1,1.590063353E0
1.899001292E0,1.150719047E0,5.637989640E-1,-3.035710156E-1,1.316882287E0
1.908996292E0,7.816290259E-1,6.857377887E-1,-3.081259131E-1,1.084491506E0
1.918991292E0,4.115915596E-1,7.663127780E-1,-3.039695024E-1,9.214338523E-1
1.928986292E0,3.994632140E-2,8.077003956E-1,-2.876001894E-1,8.583061846E-1
1.938981292E0,-3.333974183E-1,8.077509999E-1,-2.602644265E-1,9.117856591E-1
1.948976292E0,-7.000882626E-1,7.758067250E-1,-2.238378823E-1,1.068692214E0
1.958971292E0,-1.056017637E0,7.183447480E-1,-1.771752983E-1,1.289412081E0
1.968966292E0,-1.399113178E0,6.398979425E-1,-1.217266843E-1,1.543309576E0
1.978961292E0,-1.730870247E0,5.534831882E-1,-5.403180048E-2,1.818013995E0
1.988956292E0,-2.051959038E0,4.637141824E-1,2.205369249E-2,2.103818695E0
1.998951292E0,-2.350286722E0,3.865586817E-1,1.050191447E-1,2.384177911E0
2.008946292E0,-2.622619152E0,3.362514079E-1,1.933726072E-1,2.651148655E0
2.018941292E0,-2.865122557E0,3.106317818E-1,2.848545611E-1,2.895956058E0
2.028936292E0,-3.071398258E0,3.143975139E-1,3.719762862E-1,3.109774817E0
2.038931292E0,-3.241558790E0,3.382154703E-1,4.481304288E-1,3.289819748E0
2.048926292E0,-3.370134830E0,3.794290721E-1,5.111376643E-1,3.429728402E0
2.058921292E0,-3.463084221E0,4.343466759E-1,5.541828871E-1,3.533939449E0
